BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
5,5,4,4,4,4,5,5,5,5,5,6,2,39,2,3,5
5,5,7,4,1,4,4,7,7,7,7,7,4,27,6,12,8
6,6,1,1,1,1,5,1,1,1,1,1,3,57,0,0,11
7,7,1,1,1,7,7,7,7,7,7,7,3,34,0,0,0
5,4,5,4,4,5,7,4,1,5,7,7,4,68,1,8,9
4,7,4,2,2,5,4,4,4,4,4,7,7,35,3,10,10
7,7,1,7,4,1,1,4,1,1,1,7,5,72,0,8,4
5,2,5,6,4,6,6,7,6,5,6,7,8,51,7,12,6
1,1,1,1,1,1,1,1,1,1,1,1,2,47,0,0,8
4,4,4,4,4,3,3,3,3,3,3,3,4,52,3,3,3
6,6,2,1,1,3,1,5,3,1,4,2,2,30,0,1,5
5,6,2,2,2,2,2,2,3,2,2,4,3,38,0,0,3
1,1,4,4,2,1,1,4,4,2,1,1,7,43,3,2,6
6,6,2,2,2,5,3,6,6,2,4,4,8,35,1,7,6
7,6,6,6,6,6,6,4,4,5,6,7,8,71,3,9,6
6,6,4,4,4,4,4,4,4,6,4,4,1,32,0,2,11
1,2,1,1,1,1,1,4,4,4,4,1,3,48,0,0,4
5,5,6,4,4,4,5,7,7,7,4,4,5,32,0,2,7
5,4,7,6,6,4,4,4,4,4,4,4,1,15,0,0,2
5,5,5,2,2,3,2,3,5,4,2,1,3,37,0,1,2
7,6,2,2,2,5,5,6,6,5,4,2,4,42,0,0,2
5,3,1,1,1,1,1,1,1,1,1,1,5,38,0,0,7
6,5,4,1,1,1,1,5,3,1,4,2,8,29,0,3,4
1,6,4,4,3,1,1,1,1,1,1,1,4,55,0,2,0
5,5,5,4,4,3,3,3,3,2,3,3,4,35,3,3,3
3,2,2,2,2,2,5,5,5,3,3,4,3,42,3,3,6
2,2,2,2,2,1,1,1,1,1,1,1,4,37,0,0,4
5,5,2,1,2,5,5,4,4,3,2,5,8,26,1,7,5
5,5,5,2,2,1,4,1,1,1,2,1,2,41,0,0,4
3,1,2,1,2,2,2,2,2,1,1,1,2,44,0,0,5
5,3,2,2,2,2,2,1,1,1,3,1,4,39,5,0,2
7,7,7,7,7,7,7,7,7,7,7,7,4,72,6,12,12
6,6,5,4,4,6,6,6,4,5,6,6,4,32,0,0,5
5,6,3,2,3,5,6,2,3,1,2,2,1,36,0,0,0
7,7,7,7,7,7,1,5,5,1,5,5,4,46,0,12,12
1,1,1,1,1,1,2,1,1,1,1,1,4,19,10,0,4
6,6,2,2,2,2,6,2,2,2,2,2,1,35,0,1,4
2,2,2,2,2,2,2,2,2,2,2,2,4,48,0,0,1
2,2,1,1,1,2,6,3,1,1,2,2,1,49,0,0,2
5,4,6,1,2,1,1,1,1,1,1,1,3,28,0,0,1
5,5,1,1,1,1,5,4,4,1,1,5,5,31,0,0,5
2,2,5,5,2,2,2,5,5,2,2,4,4,51,5,7,8
6,5,6,4,2,2,3,5,3,5,5,1,3,48,0,0,0
2,2,5,3,2,1,4,2,1,5,5,1,7,39,0,0,3
6,6,2,2,2,5,5,2,2,2,2,6,4,33,3,5,3
1,1,1,2,1,1,1,1,1,1,1,1,3,24,0,0,1
2,5,4,1,1,1,1,1,1,1,1,1,4,28,0,0,0
4,4,4,3,4,1,2,5,5,5,4,2,8,42,0,0,0
2,2,2,2,2,1,2,2,2,2,2,1,4,33,1,3,3
